symbol,company_name,sector,current_price,num_analysts,long_term_score,value_score_v2,forward_pe,peg_ratio,sentiment_score,article_count,positive_pct,past_30d_return,sentiment_quintile
BKNG,Booking Holdings Inc.,Consumer Cyclical,5103.4644,25,21.0,26.0,16.63,1.11,71.0,20.0,65.0,-6.810225492187044,Q2
AMGN,Amgen Inc.,Healthcare,343.77,25,41.0,28.0,14.92,3.67,67.0,20.0,65.0,6.597655275629823,Q1 (Low)
ADI,"Analog Devices, Inc.",Technology,316.3992,25,58.0,24.0,27.57,1.87,83.0,20.0,100.0,12.113671607342484,Q5 (High)
NFLX,"Netflix, Inc.",Communication Services,84.0836,25,38.0,46.0,22.11,1.04,71.0,20.0,80.0,-8.714191996501203,Q2
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,266.31,25,51.0,26.0,20.62,3.8,78.0,20.0,90.0,9.115423901940757,Q4
KT,,,20.72,25,,,0.01,0.0,81.0,9.0,100.0,9.586170770036679,Q4
NET,"Cloudflare, Inc.",Technology,183.805,24,50.0,27.0,119.94,4.04,77.0,20.0,85.0,-7.469897804310426,Q3
MDLN,Medline Inc.,Healthcare,45.1202,24,,,35.07,,66.0,20.0,60.0,15.500000000000005,Q1 (Low)
FISV,"Fiserv, Inc.",Technology,63.08,24,35.0,61.0,6.89,0.58,76.0,20.0,85.0,-4.866397969846243,Q3
EXPE,"Expedia Group, Inc.",Consumer Cyclical,275.615,24,55.0,43.0,12.76,0.69,76.0,20.0,75.0,-7.872125787038666,Q3
ETSY,"Etsy, Inc.",Consumer Cyclical,53.125,24,31.0,34.0,15.86,0.68,71.0,20.0,80.0,-9.562841530054648,Q2
EDU,New Oriental Education & Technology Group Inc.,Consumer Defensive,62.25,24,54.0,36.0,15.69,0.95,80.0,20.0,90.0,5.744308231173382,Q4
EBAY,eBay Inc.,Consumer Cyclical,92.964,24,61.0,35.0,14.39,1.42,85.0,20.0,90.0,0.8290040897535095,Q5 (High)
CYBR,CyberArk Software Ltd.,Technology,431.9098,24,45.0,18.0,68.06,2.35,75.0,20.0,90.0,-2.4079191772754034,Q3
BEKE,KE Holdings Inc.,Real Estate,18.555,24,33.0,10.0,2.53,0.13,77.0,14.0,85.7,9.409701928696666,Q3
QCOM,QUALCOMM Incorporated,Technology,152.99,24,40.0,41.0,12.38,5.77,44.0,20.0,35.0,-14.020758890590438,Q1 (Low)
NXPI,NXP Semiconductors N.V.,Technology,230.73,24,56.0,26.0,13.8,0.66,70.0,20.0,80.0,1.0094693585849521,Q2
LRCX,Lam Research Corporation,Technology,238.22,24,40.0,3.0,34.45,1.13,74.0,20.0,75.0,19.87060998151572,Q3
LLY,Eli Lilly and Company,Healthcare,1051.325,24,48.0,10.0,25.78,1.09,58.0,20.0,60.0,-0.41862296089330875,Q1 (Low)
WCN,"Waste Connections, Inc.",Industrials,168.52,23,36.0,37.0,26.12,2.16,60.0,20.0,55.0,-3.67080602506611,Q1 (Low)
TOST,"Toast, Inc.",Technology,32.03,23,40.0,34.0,21.29,0.93,71.0,20.0,75.0,-8.028985507246375,Q2
RSG,"Republic Services, Inc.",Industrials,215.415,23,26.0,20.0,26.51,2.33,78.0,20.0,95.0,0.8363089644803614,Q4
NKE,"NIKE, Inc.",Consumer Cyclical,62.16,23,28.0,23.0,26.63,0.53,68.0,20.0,75.0,-3.4092670075933715,Q2
INTU,Intuit Inc.,Technology,495.575,23,43.0,32.0,18.79,1.37,61.0,20.0,60.0,-21.28612899154361,Q1 (Low)
ENPH,"Enphase Energy, Inc.",Energy,35.91,23,41.0,28.0,14.71,0.8,75.0,20.0,85.0,8.764705882352931,Q3
AZN,AstraZeneca PLC,Healthcare,191.54,23,51.0,34.0,33.07,2.65,66.0,20.0,65.0,1.6991887743915777,Q1 (Low)
ARGX,argenx SE,Healthcare,842.0825,23,58.0,15.0,21.6,0.78,78.0,20.0,85.0,4.947058235940466,Q4
ADSK,"Autodesk, Inc.",Technology,258.4813,23,28.0,21.0,22.34,1.71,71.0,20.0,75.0,-12.398669715235924,Q2
ABBV,AbbVie Inc.,Healthcare,225.645,23,35.0,6.0,14.16,1.21,79.0,20.0,85.0,1.285312017440269,Q4
PANW,"Palo Alto Networks, Inc.",Technology,177.295,23,18.0,11.0,40.82,3.26,75.0,20.0,85.0,-2.8278058423017822,Q3
MCD,McDonald's Corporation,Consumer Cyclical,317.635,23,46.0,22.0,22.07,2.6,80.0,20.0,90.0,5.049022877342755,Q4
U,Unity Software Inc.,Technology,29.855,22,33.0,1.0,23.29,0.72,54.0,20.0,50.0,-37.29840993247658,Q1 (Low)
TDOC,"Teladoc Health, Inc.",Healthcare,5.545,22,25.0,0.0,,,64.0,20.0,65.0,-24.51923076923077,Q1 (Low)
SBUX,Starbucks Corporation,Consumer Cyclical,91.9771,22,58.0,11.0,31.16,1.11,78.0,20.0,95.0,6.1634704251386285,Q4
S,"SentinelOne, Inc.",Technology,14.185,22,43.0,14.0,47.15,0.81,72.0,20.0,75.0,-3.8149898717083137,Q2
SE,Sea Limited,Consumer Cyclical,114.45,22,28.0,13.0,19.54,0.64,73.0,20.0,75.0,-19.544999284590077,Q2
GILD,"Gilead Sciences, Inc.",Healthcare,142.02,22,51.0,31.0,15.05,2.04,80.0,20.0,90.0,19.991546914623832,Q4
CRWV,"CoreWeave, Inc. Class A Common Stock",Technology,90.685,22,53.0,35.0,43.87,,60.0,20.0,65.0,21.246422066094194,Q1 (Low)
CFLT,"Confluent, Inc.",Technology,30.56,22,68.0,8.0,47.33,1.37,74.0,20.0,85.0,1.2935323383084598,Q3
BMY,Bristol-Myers Squibb Company,Healthcare,55.45,22,55.0,30.0,9.51,,62.0,20.0,55.0,3.750471164719176,Q1 (Low)
BE,Bloom Energy Corporation,Industrials,150.27,22,65.0,40.0,51.36,0.32,82.0,20.0,95.0,45.73023972273033,Q5 (High)
